coefficients_objectif,matrice_contraintes,borne_contraintes,solution,z_optimal
"[83, 42]","[73, 63, 30, 20, 20, 28]","[113, 51, 98]","[1.5, 0.0]",128
"[11, 70]","[93, 7, 17, 69, 18, 58]","[82, 25, 91]","[0.0, 0.4]",25
"[64, 2]","[74, 11, 3, 59, 45, 61]","[120, 108, 88]","[1.6, 0.0]",104
"[15, 97]","[52, 59, 14, 35, 42, 6]","[27, 34, 74]","[0.0, 0.5]",44
"[47, 63]","[5, 4, 11, 32, 82, 1]","[25, 53, 4]","[0.0, 1.6]",105
"[94, 7]","[55, 86, 24, 36, 84, 54]","[90, 14, 77]","[0.6, 0.0]",55
"[44, 70]","[48, 4, 92, 29, 86, 75]","[47, 130, 103]","[0.0, 1.4]",96
"[52, 20]","[90, 90, 68, 77, 87, 1]","[131, 149, 142]","[1.5, 0.0]",76
"[27, 17]","[98, 45, 86, 75, 40, 28]","[113, 52, 123]","[0.6, 0.0]",16
"[1, 86]","[29, 21, 74, 6, 6, 61]","[28, 89, 19]","[0.0, 0.3]",27
"[4, 71]","[21, 93, 19, 59, 31, 25]","[75, 13, 68]","[0.0, 0.2]",16
"[96, 36]","[47, 35, 45, 45, 36, 46]","[145, 73, 11]","[0.3, 0.0]",29
"[82, 99]","[64, 2, 49, 63, 66, 88]","[18, 149, 129]","[0.2, 1.3]",147
"[33, 59]","[1, 59, 19, 26, 81, 67]","[89, 78, 143]","[0.5, 1.5]",106
"[93, 25]","[83, 51, 10, 85, 38, 35]","[19, 72, 13]","[0.2, 0.0]",21
"[46, 55]","[55, 13, 97, 23, 61, 83]","[83, 67, 98]","[0.5, 0.8]",68
"[11, 14]","[46, 79, 41, 27, 5, 94]","[24, 60, 43]","[0.5, 0.0]",6
"[75, 72]","[20, 8, 90, 74, 3, 14]","[98, 87, 77]","[0.0, 1.2]",85
"[56, 30]","[77, 88, 36, 60, 80, 60]","[82, 44, 91]","[1.1, 0.0]",60
"[99, 53]","[26, 21, 4, 55, 22, 28]","[38, 12, 140]","[1.5, 0.0]",145
"[82, 78]","[58, 69, 27, 55, 63, 71]","[24, 35, 95]","[0.4, 0.0]",34
"[91, 6]","[36, 40, 55, 41, 52, 45]","[40, 94, 132]","[1.1, 0.0]",101
"[5, 33]","[82, 55, 57, 66, 42, 97]","[50, 102, 30]","[0.0, 0.3]",10
"[74, 26]","[45, 83, 15, 47, 81, 54]","[42, 138, 92]","[0.9, 0.0]",69
"[17, 13]","[9, 10, 98, 47, 10, 15]","[131, 5, 52]","[0.0, 0.1]",1
"[8, 58]","[23, 68, 4, 56, 51, 96]","[136, 16, 144]","[2.6, 0.1]",27
"[71, 60]","[71, 25, 75, 28, 87, 8]","[116, 144, 143]","[0.0, 4.6]",278
"[21, 47]","[86, 30, 12, 86, 50, 19]","[148, 101, 92]","[1.4, 1.0]",75
"[14, 25]","[33, 37, 22, 29, 96, 44]","[129, 71, 17]","[0.0, 0.4]",10
"[45, 16]","[79, 27, 8, 18, 62, 96]","[116, 32, 110]","[1.4, 0.3]",66
"[62, 73]","[40, 15, 92, 89, 79, 48]","[26, 121, 49]","[0.0, 1.0]",75
"[62, 80]","[93, 79, 84, 56, 78, 44]","[6, 72, 3]","[0.0, 0.1]",5
"[18, 99]","[70, 27, 35, 81, 57, 40]","[83, 135, 90]","[0.0, 1.7]",165
"[47, 36]","[100, 66, 94, 49, 45, 97]","[143, 31, 101]","[0.0, 0.6]",23
"[93, 90]","[44, 85, 5, 92, 10, 3]","[79, 80, 20]","[1.8, 0.0]",167
"[24, 18]","[80, 100, 42, 45, 98, 28]","[138, 113, 55]","[0.2, 1.2]",27
"[64, 94]","[29, 20, 9, 72, 20, 27]","[35, 43, 32]","[0.9, 0.5]",102
"[81, 71]","[40, 12, 76, 17, 36, 20]","[65, 1, 7]","[0.0, 0.1]",4
"[58, 72]","[16, 41, 10, 18, 38, 9]","[124, 80, 65]","[1.1, 2.6]",251
"[79, 96]","[33, 16, 66, 18, 91, 100]","[58, 2, 124]","[0.0, 0.1]",11
"[2, 23]","[100, 87, 54, 44, 40, 70]","[49, 119, 14]","[0.0, 0.2]",5
"[79, 48]","[23, 49, 86, 20, 2, 78]","[71, 78, 91]","[0.6, 1.1]",106
"[11, 51]","[62, 2, 91, 76, 30, 95]","[139, 4, 132]","[0.0, 0.1]",3
"[18, 48]","[92, 6, 79, 9, 32, 92]","[88, 150, 40]","[0.9, 0.1]",22
"[96, 16]","[98, 36, 77, 70, 13, 6]","[138, 7, 34]","[0.1, 0.0]",9
"[46, 73]","[12, 98, 61, 47, 90, 45]","[144, 150, 62]","[0.0, 1.4]",101
"[96, 94]","[39, 6, 22, 88, 1, 80]","[77, 8, 51]","[0.4, 0.0]",35
"[77, 5]","[27, 14, 47, 17, 1, 62]","[147, 99, 26]","[2.1, 0.0]",162
"[26, 61]","[52, 1, 98, 21, 10, 36]","[131, 36, 141]","[0.0, 1.7]",105
"[34, 8]","[67, 75, 44, 90, 74, 90]","[82, 150, 85]","[1.1, 0.0]",39
"[93, 42]","[1, 91, 4, 76, 51, 92]","[57, 40, 143]","[2.8, 0.0]",261
"[56, 25]","[14, 67, 65, 37, 42, 35]","[4, 48, 141]","[0.3, 0.0]",16
"[90, 92]","[53, 17, 75, 12, 82, 74]","[127, 114, 2]","[0.0, 0.0]",2
"[13, 27]","[86, 13, 28, 91, 27, 6]","[94, 81, 12]","[0.3, 0.8]",25
"[18, 33]","[21, 9, 89, 25, 21, 30]","[8, 113, 31]","[0.0, 0.9]",29
"[28, 50]","[32, 52, 71, 73, 70, 90]","[36, 85, 140]","[0.0, 0.7]",35
"[48, 36]","[31, 69, 28, 27, 95, 37]","[19, 53, 86]","[0.6, 0.0]",29
"[36, 41]","[40, 92, 61, 87, 36, 13]","[5, 115, 112]","[0.1, 0.0]",4
"[30, 25]","[73, 2, 82, 7, 18, 48]","[125, 64, 147]","[0.5, 2.9]",88
"[6, 16]","[92, 17, 29, 11, 10, 75]","[99, 126, 20]","[1.1, 0.1]",8
"[16, 10]","[40, 49, 84, 34, 76, 53]","[61, 127, 97]","[1.3, 0.0]",20
"[19, 81]","[83, 25, 14, 53, 64, 83]","[9, 74, 21]","[0.0, 0.3]",20
"[32, 25]","[73, 33, 70, 18, 71, 6]","[106, 46, 64]","[0.0, 2.6]",64
"[42, 96]","[89, 77, 57, 7, 75, 46]","[33, 67, 101]","[0.0, 0.4]",41
"[10, 26]","[77, 94, 85, 77, 61, 83]","[17, 60, 63]","[0.0, 0.2]",5
"[68, 100]","[55, 37, 58, 79, 81, 19]","[33, 77, 69]","[0.0, 0.9]",89
"[49, 87]","[93, 12, 21, 87, 40, 5]","[28, 3, 44]","[0.1, 0.0]",7
"[23, 8]","[39, 44, 2, 79, 18, 97]","[83, 37, 123]","[2.1, 0.0]",49
"[12, 34]","[1, 16, 70, 44, 50, 33]","[72, 80, 40]","[0.0, 1.2]",41
"[58, 35]","[6, 81, 15, 81, 59, 31]","[102, 69, 114]","[1.6, 0.5]",115
"[8, 99]","[9, 93, 94, 34, 31, 70]","[133, 67, 20]","[0.0, 0.3]",28
"[35, 66]","[87, 83, 9, 3, 20, 92]","[69, 80, 53]","[0.3, 0.5]",44
"[7, 60]","[30, 44, 99, 7, 4, 58]","[110, 41, 26]","[0.4, 0.4]",28
"[2, 46]","[42, 7, 42, 50, 80, 16]","[114, 96, 33]","[0.0, 1.9]",88
"[40, 24]","[53, 38, 87, 77, 67, 86]","[133, 77, 136]","[0.9, 0.0]",35
"[75, 51]","[35, 54, 42, 7, 49, 98]","[3, 39, 9]","[0.1, 0.0]",6
"[19, 49]","[60, 28, 97, 46, 92, 15]","[134, 92, 109]","[0.0, 2.0]",98
"[33, 16]","[83, 43, 3, 15, 11, 15]","[56, 2, 12]","[0.7, 0.0]",22
"[90, 51]","[31, 11, 46, 83, 55, 85]","[10, 50, 35]","[0.2, 0.3]",34
"[16, 20]","[57, 60, 12, 84, 83, 74]","[100, 75, 132]","[0.9, 0.8]",30
"[23, 99]","[16, 18, 12, 95, 95, 66]","[146, 9, 144]","[0.8, 0.0]",17
"[47, 26]","[22, 48, 15, 66, 99, 37]","[136, 62, 37]","[0.0, 0.9]",25
"[57, 4]","[92, 95, 94, 81, 6, 45]","[83, 19, 139]","[0.2, 0.0]",12
"[81, 87]","[63, 52, 55, 58, 79, 27]","[144, 80, 51]","[0.0, 1.4]",120
"[75, 46]","[61, 49, 83, 14, 92, 72]","[117, 116, 140]","[1.4, 0.2]",112
"[70, 60]","[16, 90, 77, 90, 11, 17]","[97, 59, 119]","[0.8, 0.0]",54
"[82, 54]","[57, 37, 28, 49, 61, 81]","[129, 97, 135]","[2.2, 0.0]",181
"[63, 21]","[9, 10, 44, 16, 16, 14]","[100, 59, 76]","[1.3, 0.0]",84
"[25, 98]","[29, 53, 40, 30, 66, 38]","[62, 147, 54]","[0.0, 1.2]",115
"[92, 55]","[58, 54, 51, 59, 62, 46]","[63, 126, 78]","[1.1, 0.0]",100
"[94, 60]","[78, 48, 66, 6, 71, 10]","[60, 27, 48]","[0.0, 1.2]",75
"[98, 33]","[68, 82, 36, 3, 21, 44]","[66, 129, 95]","[1.0, 0.0]",95
"[70, 95]","[43, 49, 38, 69, 55, 62]","[19, 108, 37]","[0.0, 0.4]",37
"[98, 90]","[55, 87, 26, 70, 62, 77]","[96, 96, 22]","[0.4, 0.0]",35
"[51, 31]","[17, 69, 38, 17, 81, 85]","[1, 86, 23]","[0.1, 0.0]",3
"[47, 35]","[81, 8, 17, 24, 54, 90]","[122, 110, 96]","[1.5, 0.2]",76
"[73, 73]","[16, 93, 83, 44, 41, 30]","[52, 117, 78]","[1.2, 0.3]",115
"[85, 86]","[78, 70, 23, 79, 67, 85]","[68, 78, 22]","[0.3, 0.0]",28
"[97, 6]","[40, 92, 74, 20, 92, 51]","[43, 123, 147]","[1.1, 0.0]",104
"[79, 47]","[71, 13, 50, 4, 97, 28]","[121, 123, 11]","[0.0, 0.4]",18
"[37, 24]","[22, 97, 78, 45, 7, 60]","[66, 33, 28]","[0.2, 0.4]",17
"[49, 17]","[67, 69, 6, 47, 49, 79]","[148, 98, 33]","[0.7, 0.0]",33
"[62, 70]","[63, 41, 47, 97, 18, 84]","[98, 135, 133]","[0.9, 0.9]",124
"[31, 65]","[76, 26, 76, 7, 13, 7]","[5, 30, 89]","[0.0, 0.2]",12
"[3, 33]","[9, 5, 26, 47, 60, 15]","[113, 102, 72]","[0.0, 2.2]",72
"[51, 73]","[55, 62, 46, 34, 56, 15]","[12, 26, 49]","[0.0, 0.2]",14
"[2, 10]","[8, 48, 15, 25, 35, 71]","[36, 104, 107]","[2.3, 0.4]",8
"[8, 79]","[31, 89, 38, 70, 63, 37]","[134, 23, 48]","[0.0, 0.3]",26
"[44, 23]","[32, 70, 9, 10, 22, 5]","[10, 40, 149]","[0.3, 0.0]",14
"[59, 98]","[69, 39, 25, 37, 46, 39]","[22, 17, 27]","[0.0, 0.5]",45
"[61, 70]","[31, 65, 5, 45, 5, 10]","[118, 57, 119]","[3.8, 0.0]",232
"[38, 87]","[55, 89, 28, 99, 93, 74]","[57, 5, 40]","[0.2, 0.0]",7
"[12, 96]","[66, 42, 18, 56, 77, 58]","[89, 136, 52]","[0.0, 0.9]",86
"[94, 13]","[24, 95, 2, 80, 94, 47]","[58, 111, 36]","[0.4, 0.0]",36
"[87, 90]","[41, 78, 21, 34, 14, 65]","[136, 97, 21]","[1.5, 0.0]",130
"[42, 9]","[44, 54, 99, 14, 24, 70]","[31, 131, 2]","[0.1, 0.0]",4
"[100, 68]","[63, 67, 5, 83, 23, 90]","[10, 140, 100]","[0.2, 0.0]",16
"[11, 66]","[24, 11, 91, 29, 72, 75]","[42, 1, 80]","[0.0, 0.0]",2
"[6, 34]","[24, 98, 54, 22, 84, 72]","[8, 121, 71]","[0.0, 0.1]",3
"[38, 38]","[74, 3, 20, 92, 81, 8]","[125, 73, 108]","[1.3, 0.5]",68
"[60, 5]","[70, 15, 17, 37, 93, 77]","[122, 48, 62]","[0.7, 0.0]",40
"[26, 46]","[76, 58, 69, 36, 96, 39]","[46, 76, 134]","[0.0, 0.8]",36
"[47, 58]","[44, 19, 79, 27, 74, 99]","[126, 56, 42]","[0.6, 0.0]",27
"[72, 77]","[67, 14, 92, 90, 97, 35]","[50, 71, 136]","[0.0, 0.8]",61
"[82, 42]","[53, 30, 46, 77, 6, 95]","[58, 121, 142]","[1.1, 0.0]",90
"[40, 64]","[15, 68, 54, 6, 43, 29]","[29, 65, 142]","[1.2, 0.2]",58
"[34, 63]","[98, 26, 85, 2, 50, 58]","[112, 44, 71]","[0.0, 1.2]",77
"[57, 45]","[93, 31, 83, 34, 11, 8]","[75, 1, 59]","[0.0, 0.0]",1
"[68, 30]","[75, 46, 78, 93, 62, 83]","[129, 78, 6]","[0.1, 0.0]",7
"[34, 1]","[90, 30, 34, 35, 71, 16]","[66, 143, 57]","[0.7, 0.0]",25
"[51, 54]","[55, 90, 64, 18, 74, 92]","[68, 91, 48]","[0.6, 0.0]",33
"[55, 95]","[32, 100, 4, 79, 90, 87]","[57, 144, 5]","[0.0, 0.1]",5
"[81, 73]","[45, 62, 52, 81, 22, 80]","[53, 130, 91]","[1.2, 0.0]",95
"[60, 53]","[73, 96, 67, 71, 72, 55]","[82, 145, 29]","[0.0, 0.5]",28
"[1, 44]","[83, 13, 97, 18, 74, 92]","[134, 78, 33]","[0.0, 0.4]",16
"[39, 85]","[52, 47, 60, 77, 18, 41]","[145, 138, 103]","[0.0, 1.8]",152
"[63, 51]","[36, 22, 11, 48, 4, 47]","[37, 132, 58]","[0.3, 1.2]",80
"[51, 22]","[50, 71, 44, 33, 76, 39]","[125, 39, 18]","[0.2, 0.0]",12
"[100, 34]","[97, 57, 50, 31, 98, 10]","[59, 31, 90]","[0.6, 0.0]",61
"[95, 71]","[9, 44, 92, 96, 94, 31]","[87, 46, 92]","[0.5, 0.0]",48
"[68, 68]","[8, 13, 58, 58, 43, 6]","[133, 104, 28]","[0.0, 1.8]",122
"[22, 54]","[39, 30, 38, 31, 35, 59]","[81, 138, 137]","[0.0, 2.3]",125
"[7, 4]","[44, 8, 3, 55, 57, 42]","[108, 26, 44]","[0.8, 0.0]",5
"[63, 85]","[87, 33, 52, 64, 64, 34]","[145, 85, 109]","[0.0, 1.3]",113
"[65, 93]","[67, 58, 100, 16, 12, 92]","[120, 40, 118]","[0.2, 1.3]",130
"[51, 95]","[65, 29, 12, 75, 23, 39]","[60, 130, 91]","[0.2, 1.7]",170
"[24, 18]","[8, 30, 56, 7, 84, 23]","[123, 132, 130]","[0.5, 4.0]",83
"[45, 38]","[83, 26, 95, 15, 64, 42]","[91, 2, 95]","[0.0, 0.1]",5
"[45, 72]","[84, 58, 91, 34, 78, 78]","[24, 77, 121]","[0.0, 0.4]",30
"[90, 20]","[30, 37, 33, 41, 96, 56]","[144, 116, 69]","[0.7, 0.0]",65
"[74, 98]","[86, 17, 71, 40, 60, 72]","[14, 134, 98]","[0.0, 0.8]",81
"[22, 87]","[5, 49, 85, 21, 73, 9]","[141, 44, 143]","[0.0, 2.1]",182
"[29, 56]","[87, 90, 19, 61, 44, 13]","[39, 47, 17]","[0.0, 0.4]",24
"[86, 6]","[31, 22, 2, 77, 52, 66]","[92, 51, 19]","[0.4, 0.0]",31
"[23, 66]","[100, 42, 74, 74, 49, 10]","[64, 85, 19]","[0.0, 1.1]",76
"[42, 61]","[33, 46, 39, 32, 10, 68]","[36, 29, 130]","[0.0, 0.8]",48
"[9, 86]","[84, 92, 99, 68, 7, 5]","[114, 118, 68]","[0.0, 1.2]",107
"[52, 97]","[20, 19, 35, 14, 74, 38]","[55, 111, 93]","[0.0, 2.4]",237
"[42, 19]","[80, 100, 94, 73, 14, 60]","[68, 31, 61]","[0.3, 0.0]",14
"[12, 81]","[44, 37, 82, 97, 71, 30]","[88, 135, 147]","[0.0, 1.4]",113
"[34, 6]","[66, 70, 60, 40, 55, 72]","[13, 70, 143]","[0.2, 0.0]",7
"[13, 48]","[53, 23, 30, 39, 97, 66]","[55, 119, 92]","[0.0, 1.4]",67
"[100, 29]","[22, 65, 38, 10, 74, 41]","[3, 118, 52]","[0.1, 0.0]",14
"[36, 87]","[8, 65, 30, 78, 15, 33]","[1, 120, 62]","[0.1, 0.0]",4
"[22, 65]","[43, 51, 75, 90, 52, 54]","[31, 126, 121]","[0.0, 0.6]",40
"[36, 79]","[45, 65, 80, 29, 37, 31]","[74, 107, 35]","[0.0, 1.1]",89
"[25, 45]","[73, 78, 27, 37, 32, 58]","[88, 78, 60]","[0.2, 0.9]",47
"[42, 35]","[72, 6, 9, 48, 79, 92]","[13, 115, 68]","[0.1, 0.6]",27
"[69, 59]","[61, 78, 30, 91, 58, 58]","[101, 146, 7]","[0.1, 0.0]",8
"[69, 97]","[28, 51, 84, 14, 56, 54]","[129, 137, 99]","[0.0, 1.8]",178
"[15, 81]","[100, 1, 19, 77, 37, 41]","[119, 142, 23]","[0.0, 0.6]",45
"[89, 92]","[99, 70, 91, 23, 10, 17]","[77, 138, 68]","[0.0, 1.1]",101
"[98, 64]","[10, 14, 48, 93, 79, 88]","[88, 30, 18]","[0.2, 0.0]",22
"[69, 36]","[65, 51, 72, 56, 94, 55]","[70, 54, 41]","[0.4, 0.0]",30
"[62, 95]","[4, 61, 97, 8, 49, 59]","[146, 150, 147]","[0.1, 2.4]",235
"[46, 93]","[80, 14, 8, 32, 67, 74]","[139, 104, 102]","[0.0, 1.4]",128
"[34, 46]","[17, 88, 82, 56, 19, 60]","[5, 22, 61]","[0.3, 0.0]",9
"[96, 88]","[34, 74, 15, 20, 2, 15]","[32, 47, 114]","[0.9, 0.0]",90
"[29, 10]","[95, 71, 31, 56, 81, 52]","[46, 99, 63]","[0.5, 0.0]",14
"[95, 34]","[67, 20, 46, 79, 14, 72]","[75, 97, 41]","[1.0, 0.4]",108
"[36, 90]","[10, 48, 75, 12, 74, 88]","[99, 106, 8]","[0.0, 0.1]",8
"[8, 30]","[98, 24, 14, 29, 22, 63]","[120, 136, 145]","[0.0, 2.3]",69
"[4, 94]","[75, 36, 80, 90, 57, 74]","[13, 51, 14]","[0.0, 0.2]",18
"[1, 47]","[98, 73, 31, 79, 57, 81]","[134, 27, 77]","[0.0, 0.3]",16
"[72, 41]","[6, 87, 48, 16, 48, 56]","[55, 116, 10]","[0.2, 0.0]",15
"[67, 38]","[4, 28, 1, 99, 95, 99]","[46, 91, 63]","[0.7, 0.0]",44
"[27, 63]","[45, 26, 22, 21, 93, 74]","[80, 131, 116]","[0.0, 1.6]",99
"[74, 63]","[14, 39, 13, 84, 25, 75]","[97, 30, 10]","[0.4, 0.0]",30
"[60, 35]","[12, 76, 41, 63, 41, 6]","[115, 120, 113]","[2.7, 0.1]",169
"[97, 99]","[68, 80, 63, 4, 49, 65]","[106, 18, 145]","[0.2, 1.1]",134
"[57, 10]","[29, 48, 78, 74, 58, 71]","[145, 59, 47]","[0.8, 0.0]",43
"[41, 19]","[26, 93, 69, 67, 65, 4]","[129, 6, 134]","[0.1, 0.0]",4
"[54, 80]","[12, 53, 51, 27, 95, 82]","[72, 68, 5]","[0.0, 0.1]",5
"[14, 21]","[13, 10, 77, 71, 10, 18]","[13, 139, 78]","[0.0, 1.3]",27
"[46, 67]","[98, 19, 53, 91, 64, 25]","[106, 77, 52]","[0.6, 0.5]",61
"[10, 26]","[67, 43, 27, 33, 19, 40]","[97, 144, 78]","[0.0, 1.9]",51
"[32, 67]","[74, 57, 79, 44, 59, 69]","[134, 35, 73]","[0.0, 0.8]",53
"[47, 67]","[27, 60, 18, 41, 38, 11]","[131, 112, 8]","[0.0, 0.7]",49
"[91, 50]","[43, 23, 44, 90, 3, 30]","[143, 82, 68]","[1.9, 0.0]",170
"[39, 24]","[90, 72, 88, 26, 49, 14]","[33, 100, 142]","[0.4, 0.0]",14
"[99, 55]","[2, 73, 60, 68, 9, 18]","[60, 147, 48]","[2.5, 0.0]",243
"[51, 36]","[75, 24, 10, 18, 70, 2]","[98, 33, 41]","[0.5, 1.5]",83
"[57, 75]","[84, 69, 11, 53, 89, 63]","[69, 36, 90]","[0.3, 0.6]",64
"[12, 14]","[36, 7, 98, 34, 25, 29]","[18, 82, 70]","[0.0, 2.4]",34
"[51, 69]","[26, 81, 100, 43, 29, 62]","[144, 139, 34]","[1.2, 0.0]",60
"[73, 6]","[35, 54, 96, 77, 12, 94]","[38, 122, 139]","[1.1, 0.0]",79
"[40, 11]","[56, 45, 97, 1, 82, 59]","[56, 128, 66]","[0.8, 0.0]",32
"[27, 28]","[6, 38, 67, 53, 20, 86]","[66, 144, 61]","[1.9, 0.3]",60
"[16, 97]","[31, 80, 40, 62, 79, 92]","[124, 40, 106]","[0.0, 0.6]",63
"[85, 67]","[82, 52, 13, 98, 47, 5]","[46, 42, 78]","[0.3, 0.4]",53
"[26, 45]","[72, 21, 62, 94, 72, 10]","[10, 52, 124]","[0.0, 0.5]",21
"[81, 44]","[2, 39, 70, 39, 80, 42]","[77, 127, 90]","[0.1, 2.0]",94
"[16, 89]","[6, 35, 99, 45, 76, 47]","[16, 75, 113]","[0.6, 0.4]",41
"[11, 79]","[6, 39, 89, 59, 54, 38]","[88, 143, 112]","[0.0, 2.3]",178
"[93, 95]","[18, 45, 24, 62, 5, 15]","[48, 55, 10]","[2.0, 0.0]",186
"[96, 30]","[70, 52, 93, 74, 3, 6]","[136, 88, 19]","[0.9, 0.0]",91
"[65, 85]","[51, 69, 62, 63, 91, 57]","[38, 114, 61]","[0.6, 0.1]",48
"[96, 38]","[22, 80, 69, 38, 53, 77]","[114, 79, 57]","[1.1, 0.0]",103
"[76, 41]","[66, 17, 44, 15, 48, 49]","[94, 55, 93]","[0.9, 1.0]",110
"[60, 16]","[89, 51, 52, 36, 51, 39]","[150, 120, 77]","[1.5, 0.0]",91
"[25, 29]","[29, 81, 79, 93, 10, 87]","[19, 35, 73]","[0.4, 0.0]",11
"[32, 75]","[92, 75, 70, 1, 53, 43]","[129, 145, 15]","[0.0, 0.3]",26
"[53, 12]","[87, 50, 68, 62, 2, 86]","[149, 74, 147]","[1.1, 0.0]",58
"[98, 37]","[58, 67, 3, 51, 33, 39]","[77, 26, 120]","[1.3, 0.0]",130
"[45, 30]","[56, 30, 3, 2, 22, 21]","[102, 104, 26]","[1.2, 0.0]",53
"[29, 78]","[68, 66, 77, 92, 59, 13]","[135, 2, 73]","[0.0, 0.0]",2
"[79, 87]","[10, 30, 61, 69, 85, 91]","[144, 38, 107]","[0.6, 0.0]",49
"[54, 15]","[32, 10, 4, 13, 72, 96]","[137, 81, 62]","[0.9, 0.0]",46
"[65, 95]","[57, 88, 57, 64, 28, 7]","[23, 84, 103]","[0.4, 0.0]",26
"[85, 32]","[44, 44, 20, 29, 60, 85]","[87, 1, 149]","[0.1, 0.0]",4
"[21, 73]","[79, 95, 87, 68, 20, 19]","[8, 122, 84]","[0.0, 0.1]",6
"[53, 40]","[75, 65, 35, 17, 24, 54]","[78, 147, 129]","[1.0, 0.0]",55
"[46, 26]","[86, 46, 51, 97, 93, 80]","[41, 18, 11]","[0.1, 0.0]",5
"[7, 82]","[84, 95, 32, 63, 44, 45]","[72, 99, 99]","[0.0, 0.8]",62
"[92, 83]","[53, 13, 81, 53, 60, 16]","[125, 49, 9]","[0.0, 0.6]",47
"[60, 76]","[22, 45, 34, 53, 85, 14]","[128, 115, 73]","[0.6, 1.8]",171
"[52, 99]","[54, 61, 59, 56, 6, 98]","[105, 15, 65]","[0.0, 0.3]",27
"[22, 31]","[91, 10, 11, 15, 18, 10]","[149, 108, 141]","[0.0, 7.2]",223
"[56, 44]","[52, 41, 51, 73, 62, 36]","[36, 27, 43]","[0.5, 0.0]",30
"[78, 47]","[87, 66, 8, 7, 93, 74]","[112, 59, 19]","[0.2, 0.0]",16
"[56, 74]","[5, 12, 73, 5, 53, 51]","[88, 92, 49]","[0.0, 1.0]",71
"[61, 55]","[12, 46, 70, 5, 21, 93]","[138, 15, 29]","[0.2, 0.3]",27
"[41, 83]","[46, 97, 47, 15, 30, 70]","[131, 1, 37]","[0.0, 0.1]",6
"[17, 72]","[40, 26, 64, 60, 2, 18]","[119, 70, 98]","[0.0, 1.2]",84
"[90, 65]","[67, 81, 52, 62, 68, 11]","[148, 74, 19]","[0.1, 1.1]",81
"[99, 87]","[70, 14, 62, 22, 75, 98]","[25, 21, 15]","[0.2, 0.0]",20
"[59, 9]","[25, 24, 61, 42, 54, 48]","[117, 72, 13]","[0.2, 0.0]",14
"[73, 65]","[77, 76, 61, 67, 50, 2]","[47, 140, 13]","[0.2, 0.4]",42
"[41, 92]","[65, 76, 28, 79, 32, 90]","[139, 122, 10]","[0.3, 0.0]",13
"[24, 34]","[29, 35, 21, 80, 44, 66]","[44, 64, 111]","[0.8, 0.6]",39
"[98, 84]","[43, 20, 75, 88, 7, 47]","[108, 142, 25]","[1.9, 0.0]",186
"[84, 34]","[70, 43, 95, 90, 64, 84]","[106, 115, 128]","[1.2, 0.0]",102
"[85, 96]","[81, 34, 64, 51, 52, 86]","[114, 116, 150]","[0.8, 1.3]",189
"[43, 51]","[2, 15, 87, 23, 57, 7]","[73, 29, 125]","[0.0, 1.3]",64
"[29, 87]","[77, 78, 7, 77, 87, 63]","[44, 112, 93]","[0.0, 0.6]",49
"[11, 69]","[73, 67, 39, 3, 96, 13]","[78, 121, 16]","[0.0, 1.2]",80
"[6, 36]","[45, 9, 75, 54, 28, 9]","[49, 73, 25]","[0.0, 1.4]",49
"[38, 1]","[27, 85, 88, 57, 52, 3]","[5, 116, 122]","[0.2, 0.0]",7
"[91, 12]","[69, 93, 19, 62, 17, 48]","[92, 53, 87]","[1.3, 0.0]",121
"[15, 34]","[10, 29, 17, 69, 96, 56]","[24, 140, 55]","[0.1, 0.8]",29
"[7, 6]","[45, 35, 53, 8, 11, 47]","[136, 118, 56]","[2.1, 0.7]",19
"[16, 12]","[31, 84, 33, 72, 20, 40]","[128, 21, 129]","[0.6, 0.0]",10
"[99, 86]","[44, 74, 16, 81, 46, 23]","[53, 70, 44]","[0.9, 0.2]",102
"[32, 17]","[90, 66, 45, 3, 54, 54]","[22, 83, 140]","[0.2, 0.0]",8
"[55, 49]","[23, 8, 77, 12, 12, 93]","[55, 149, 51]","[1.9, 0.3]",119
"[60, 10]","[91, 78, 15, 14, 74, 59]","[75, 97, 29]","[0.4, 0.0]",24
"[1, 94]","[42, 96, 65, 21, 19, 35]","[6, 114, 93]","[0.0, 0.1]",6
"[35, 17]","[13, 12, 24, 43, 43, 23]","[41, 23, 15]","[0.3, 0.0]",12
"[87, 60]","[45, 96, 18, 58, 64, 74]","[41, 93, 106]","[0.9, 0.0]",79
"[48, 12]","[3, 48, 85, 59, 50, 84]","[8, 106, 87]","[1.2, 0.0]",60
"[16, 36]","[92, 51, 46, 100, 27, 79]","[14, 37, 65]","[0.0, 0.3]",10
"[23, 98]","[62, 36, 69, 11, 60, 52]","[111, 117, 131]","[0.0, 2.5]",247
"[3, 60]","[25, 85, 8, 26, 88, 64]","[146, 114, 138]","[0.0, 1.7]",103
"[18, 94]","[39, 7, 72, 45, 51, 75]","[28, 45, 140]","[0.0, 1.0]",94
"[25, 10]","[8, 32, 65, 100, 10, 3]","[14, 139, 52]","[1.8, 0.0]",44
"[53, 28]","[32, 29, 69, 61, 21, 40]","[117, 6, 52]","[0.1, 0.0]",5
"[17, 97]","[26, 43, 97, 27, 15, 57]","[97, 50, 82]","[0.0, 1.4]",140
"[6, 100]","[64, 37, 66, 64, 17, 38]","[116, 5, 64]","[0.0, 0.1]",8
"[42, 86]","[13, 68, 12, 20, 41, 24]","[147, 150, 134]","[2.3, 1.7]",244
